"","ID","Choice_situation","alt1_x1","alt1_x2","alt1_x3","alt1_x4","alt2_x1","alt2_x2","alt2_x3","alt2_x4","alt3_sq","Block","group","V_1","V_2","V_3","e_1","e_2","e_3","U_1","U_2","U_3","CHOICE"
"1",1,2,0,0,0,100,0,1,1,120,1,1,1,-0.5,-0.63,-1,0.918288746664976,1.29293239134945,-0.844490526039048,0.418288746664976,0.662932391349446,-1.84449052603905,2
"2",1,5,50,1,0,120,50,0,1,80,1,1,1,-2.62,-2.41,-1,-0.424527334571098,1.79551753326198,1.01834728052342,-3.0445273345711,-0.614482466738022,0.0183472805234222,3
"3",1,9,0,0,1,90,0,1,0,130,1,1,1,-0.46,-0.67,-1,0.561552801101844,-0.698495604987709,-1.18607777409113,0.101552801101844,-1.36849560498771,-2.18607777409113,1
"4",1,10,25,0,0,110,25,1,0,80,1,1,1,-1.55,-1.42,-1,-1.12000804444977,-0.388506639761902,-0.208304123195535,-2.67000804444977,-1.8085066397619,-1.20830412319553,3
"5",1,12,25,0,1,120,25,0,0,150,1,1,1,-1.61,-1.75,-1,-0.777696216948139,1.96965222767404,1.15553629453696,-2.38769621694814,0.219652227674039,0.155536294536955,2
"6",1,13,0,1,0,80,25,1,1,130,1,1,1,-0.42,-1.68,-1,-0.293552822919221,1.06829326036872,-0.118866905521186,-0.713552822919221,-0.611706739631281,-1.11886690552119,2
"7",1,15,25,0,1,120,25,1,0,80,1,1,1,-1.61,-1.42,-1,0.769410652094779,-1.28850425009514,-0.242710710643828,-0.840589347905221,-2.70850425009514,-1.24271071064383,1
"8",1,16,0,0,0,140,0,1,1,100,1,1,1,-0.7,-0.53,-1,1.98605434340223,0.506529351467767,1.56174614794702,1.28605434340223,-0.023470648532233,0.561746147947016,1
"9",1,17,25,1,1,140,0,0,1,100,1,1,1,-1.73,-0.51,-1,0.461753002183562,0.704920125477827,-0.189440458657408,-1.26824699781644,0.194920125477827,-1.18944045865741,2
"10",1,18,0,0,0,110,0,1,1,140,1,1,1,-0.55,-0.73,-1,-0.0345135445746297,-0.698626437554551,2.55612597407203,-0.58451354457463,-1.42862643755455,1.55612597407203,3
"11",2,1,0,0,1,120,0,1,1,80,1,2,1,-0.61,-0.43,-1,0.262144684179627,-0.0123013470430596,4.36737406762004,-0.347855315820373,-0.44230134704306,3.36737406762004,3
"12",2,3,0,0,1,90,0,0,0,120,1,2,1,-0.46,-0.6,-1,0.545183994609745,-0.710066544701779,0.46621682063267,0.0851839946097446,-1.31006654470178,-0.53378317936733,1
"13",2,4,50,0,1,110,25,1,0,140,1,2,1,-2.56,-1.72,-1,4.22640956166529,-0.404923333911938,2.79387696326335,1.66640956166529,-2.12492333391194,1.79387696326335,3
"14",2,6,25,0,0,90,25,1,1,130,1,2,1,-1.45,-1.68,-1,2.36350274798078,0.992565475469147,1.41587065690027,0.913502747980775,-0.687434524530853,0.415870656900268,1
"15",2,7,0,0,1,150,25,1,0,130,1,2,1,-0.76,-1.67,-1,-0.757841359567604,0.97030290700195,0.637049149706376,-1.5178413595676,-0.69969709299805,-0.362950850293624,3
